"SourceFile","SourceLine","ElementName","RegisterCall"
"hud.c","1192","<dynamic-or-multiline>","hud_t * HUD_Register(char *name, char *var_alias, char *description, int flags, cactive_t min_state, int draw_order, hud_func_type draw_func, char *show, char *place, char *align_x, char *align_y, char *pos_x, char *pos_y, char *frame, char *frame_color, char *item_opacity, char *params, ...)"
"hud_ammo.c","439","ammo","HUD_Register( ""ammo"", NULL, ""Part of your inventory - ammo for active weapon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmoCurrent, ""1"", ""health"", ""after"", ""center"", ""32"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""proportional"", ""0"", ""show_always"", ""0"", ""text_color_low"", """", ""text_color_normal"", """", NULL );"
"hud_ammo.c","454","ammo1","HUD_Register(""ammo1"", NULL, ""Part of your inventory - ammo - shells."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmo1, ""0"", ""ibar"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""proportional"", ""0"", ""text_color_low"", """", ""text_color_normal"", """", NULL);"
"hud_ammo.c","465","ammo2","HUD_Register(""ammo2"", NULL, ""Part of your inventory - ammo - nails."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmo2, ""0"", ""ammo1"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""proportional"", ""0"", ""text_color_low"", """", ""text_color_normal"", """", NULL);"
"hud_ammo.c","476","ammo3","HUD_Register(""ammo3"", NULL, ""Part of your inventory - ammo - rockets."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmo3, ""0"", ""ammo2"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""proportional"", ""0"", ""text_color_low"", """", ""text_color_normal"", """", NULL);"
"hud_ammo.c","487","ammo4","HUD_Register(""ammo4"", NULL, ""Part of your inventory - ammo - cells."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmo4, ""0"", ""ammo3"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""proportional"", ""0"", ""text_color_low"", """", ""text_color_normal"", """", NULL);"
"hud_ammo.c","500","iammo","HUD_Register( ""iammo"", NULL, ""Part of your inventory - ammo icon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmoIconCurrent, ""1"", ""ammo"", ""before"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""show_always"", ""0"", NULL );"
"hud_ammo.c","510","iammo1","HUD_Register(""iammo1"", NULL, ""Part of your inventory - ammo icon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmoIcon1, ""0"", ""ibar"", ""left"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""2"", ""scale"", ""1"", NULL);"
"hud_ammo.c","516","iammo2","HUD_Register(""iammo2"", NULL, ""Part of your inventory - ammo icon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmoIcon2, ""0"", ""iammo1"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""2"", ""scale"", ""1"", NULL);"
"hud_ammo.c","522","iammo3","HUD_Register(""iammo3"", NULL, ""Part of your inventory - ammo icon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmoIcon3, ""0"", ""iammo2"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""2"", ""scale"", ""1"", NULL);"
"hud_ammo.c","528","iammo4","HUD_Register(""iammo4"", NULL, ""Part of your inventory - ammo icon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawAmmoIcon4, ""0"", ""iammo3"", ""after"", ""top"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""2"", ""scale"", ""1"", NULL);"
"hud_armor.c","229","armor","HUD_Register( ""armor"", NULL, ""Part of your inventory - armor level."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawArmor, ""1"", ""face"", ""before"", ""center"", ""-32"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""align"", ""right"", ""digits"", ""3"", ""pent_666"", ""1"",  // Show 666 instead of armor value ""proportional"", ""0"", ""hidezero"", ""0"", // Hide armor number if 0 NULL );"
"hud_armor.c","244","iarmor","HUD_Register( ""iarmor"", NULL, ""Part of your inventory - armor icon."", HUD_INVENTORY, ca_active, 0, SCR_HUD_DrawArmorIcon, ""1"", ""armor"", ""before"", ""center"", ""0"", ""0"", ""0"", ""0 0 0"", NULL, ""style"", ""0"", ""scale"", ""1"", ""proportional"", ""0"", NULL );"
